FilePrefix,numInsts,numCycles,ipc
n50_nreps10_vector_manual_m1_mode2_vv_macc,3471654.0,1086527.0,3.195184
n50_nreps10_vector_manual_m4_mode2_vv_macc,1534298.0,705711.0,2.174117
n100_nreps10_vector_manual_m4_mode2_vv_macc,8554919.0,3489341.0,2.451729
n50_nreps10_vector_manual_m1_mode2_vf_madd,3236847.0,1324473.0,2.443875
n100_nreps10_vector_manual_m1_mode2_vf_macc,22026707.0,6376947.0,3.454115
n50_nreps10_vector_manual_m8_mode1_vv_madd,1079411.0,656523.0,1.644133
n100_nreps10_vector_manual_m4_mode2_vv_madd,8553843.0,3574059.0,2.393313
n50_nreps10_vector_manual_m2_mode2_vv_madd,2405866.0,1038703.0,2.316221
n50_nreps10_vector_manual_m1_mode2_vv_madd,3472788.0,1425481.0,2.436222
n50_nreps10_vector_manual_m8_mode1_vf_madd,1069632.0,640021.0,1.671245
n50_nreps10_vector_manual_m2_mode2_vf_macc,2046890.0,760755.0,2.690603
n100_nreps10_vector_manual_m2_mode1_vv_macc,11835912.0,4967531.0,2.382655
n50_nreps10_vector_manual_m1_mode1_vf_madd,2599578.0,1295289.0,2.006948
n50_nreps10_vector_manual_m4_mode2_vf_macc,1451980.0,694877.0,2.08955
n100_nreps10_vector_manual_m8_mode2_vf_madd,5676531.0,3358309.0,1.690294
n50_nreps10_vector_manual_m1_mode1_vv_macc,2603761.0,838353.0,3.105805
n100_nreps10_vector_manual_m8_mode2_vv_madd,6007183.0,3460553.0,1.735903
n50_nreps10_vector_manual_m1_mode2_vf_macc,3235505.0,994489.0,3.253435
n50_nreps10_vector_manual_m8_mode2_vv_macc,1207995.0,711639.0,1.697483
n50_nreps10_vector_manual_m2_mode2_vv_macc,2404399.0,888701.0,2.705521
n100_nreps10_vector_auto,20469204.0,5202295.0,3.934649
n50_nreps10_vector_manual_m8_mode2_vf_macc,1151891.0,679467.0,1.695286
n50_nreps10_vector_manual_m1_mode1_vv_madd,2605164.0,1258481.0,2.070086
n50_nreps10_vector_manual_m2_mode2_vf_madd,2048220.0,745581.0,2.747146
n100_nreps10_vector_manual_m4_mode1_vf_macc,6743562.0,3400559.0,1.983075
n100_nreps10_vector_manual_m1_mode2_vv_macc,23805451.0,6804117.0,3.498683
n50_nreps10_vector_manual_m2_mode1_vf_macc,1729518.0,724973.0,2.385631
n50_nreps10_vector_manual_m2_mode1_vf_madd,1730464.0,731679.0,2.365059
n100_nreps10_vector_manual_m1_mode1_vf_madd,16959338.0,9241547.0,1.835119
n100_nreps10_vector_manual_m8_mode2_vf_macc,5679732.0,3401801.0,1.669625
n50_nreps10_vector_manual_m4_mode1_vv_macc,1303273.0,690063.0,1.888629
n100_nreps10_vector_manual_m2_mode2_vf_macc,12687452.0,4040333.0,3.1402
n50_nreps10_vector_manual_m4_mode2_vf_madd,1452368.0,679239.0,2.138228
n100_nreps10_vector_manual_m1_mode1_vv_madd,16982569.0,9603143.0,1.768439
n50_nreps10_vector_manual_m4_mode1_vf_madd,1293284.0,670807.0,1.927952
n50_nreps10_vector_manual_m8_mode1_vf_macc,1069418.0,670565.0,1.594801
n100_nreps10_vector_manual_m1_mode2_vv_madd,23803570.0,10782131.0,2.207687
n50_nreps10_vector_manual_m4_mode2_vv_madd,1534445.0,680101.0,2.256202
n100_nreps10_vector_manual_m1_mode2_vf_madd,22025257.0,10330159.0,2.132131
n100_nreps10_vector_manual_m8_mode1_vv_macc,5078051.0,3493547.0,1.453552
n100_nreps10_vector_manual_m2_mode1_vv_madd,11836189.0,6296399.0,1.879835
n100_nreps10_vector_manual_m8_mode1_vf_macc,5033180.0,3377959.0,1.490006
n50_nreps10_vector_manual_m8_mode1_vv_macc,1078587.0,693937.0,1.554301
n100_nreps10_vector_manual_m2_mode2_vv_macc,15367237.0,4972733.0,3.0903
n100_nreps10_vector_manual_m4_mode1_vv_madd,6783796.0,3474293.0,1.952569
n50_nreps10_vector_manual_m2_mode1_vv_madd,1943175.0,1016777.0,1.911112
n50_nreps10_vector_manual_m4_mode1_vf_macc,1294180.0,677265.0,1.910892
n50_nreps10_vector_manual_m8_mode2_vf_madd,1151953.0,645641.0,1.784201
n50_nreps10_vector_auto,3058733.0,899887.0,3.399019
n50_nreps10_vector_manual_m8_mode2_vv_madd,1207950.0,684297.0,1.765242
n100_nreps10_vector_manual_m8_mode1_vf_madd,5031279.0,3334771.0,1.508733
n100_nreps10_vector_manual_m4_mode1_vf_madd,6741773.0,3391495.0,1.987847
n100_nreps10_vector_manual_m2_mode1_vf_madd,10145552.0,4022929.0,2.521932
n50_nreps10_vector_manual_m2_mode1_vv_macc,1943551.0,866721.0,2.242418
n100_nreps10_vector_manual_m2_mode1_vf_macc,10149101.0,3651499.0,2.779434
n100_nreps10_vector_manual_m4_mode1_vv_macc,6786141.0,3459925.0,1.961355
n50_nreps10_scalar,4297796.0,1000497.0,4.295661
n100_nreps10_vector_manual_m8_mode1_vv_madd,5075064.0,3486509.0,1.455629
n100_nreps10_vector_manual_m4_mode2_vf_madd,8016323.0,3597883.0,2.228067
n100_nreps10_vector_manual_m4_mode2_vf_macc,8018659.0,3472645.0,2.309093
n100_nreps10_vector_manual_m2_mode2_vv_madd,15367209.0,6320775.0,2.431222
n100_nreps10_vector_manual_m8_mode2_vv_macc,6010479.0,3534269.0,1.700629
n50_nreps10_vector_manual_m4_mode1_vv_madd,1303561.0,687129.0,1.897112
n100_nreps10_scalar,30453547.0,6627123.0,4.595289
n100_nreps10_vector_manual_m2_mode2_vf_madd,12683418.0,4444717.0,2.853594
