FilePrefix,numInsts,numCycles,ipc
n50_nreps10_vector_manual_m1_mode2_vv_macc,3520485.0,1159619.0,3.035898
n50_nreps1_vector_manual_m8_mode2_vf_macc,119990.0,69869.0,1.717357
n50_nreps10_vector_manual_m4_mode2_vv_macc,1582538.0,742621.0,2.131017
n100_nreps10_vector_manual_m4_mode2_vv_macc,8752444.0,3621633.0,2.416712
n50_nreps1_vector_manual_m2_mode2_vf_madd,209562.0,83853.0,2.499159
n50_nreps10_vector_manual_m1_mode2_vf_madd,3282216.0,1347319.0,2.436109
n100_nreps1_vector_manual_m1_mode1_vf_macc,1735401.0,453679.0,3.825174
n100_nreps10_vector_manual_m1_mode2_vf_macc,22219170.0,6445399.0,3.447292
n50_nreps10_vector_manual_m8_mode1_vv_madd,1179136.0,685825.0,1.719296
n100_nreps10_vector_manual_m4_mode2_vv_madd,8750832.0,3647891.0,2.398874
n50_nreps10_vector_manual_m2_mode2_vv_madd,2230368.0,936383.0,2.381897
n100_nreps1_vector_manual_m2_mode1_vf_madd,1054155.0,411729.0,2.560313
n100_nreps1_vector_manual_m1_mode2_vf_madd,2221736.0,1045767.0,2.124504
n50_nreps10_vector_manual_m1_mode2_vv_madd,3521268.0,2100515.0,1.676383
n50_nreps10_vector_manual_m8_mode1_vf_madd,1167394.0,655777.0,1.780169
n50_nreps10_vector_manual_m2_mode2_vf_macc,2092798.0,746909.0,2.801945
n50_nreps1_vector_manual_m2_mode2_vv_macc,223116.0,88381.0,2.524479
n50_nreps1_vector_manual_m1_mode2_vv_macc,352216.0,119425.0,2.949265
n50_nreps1_vector_manual_m1_mode1_vf_macc,269504.0,90075.0,2.991996
n100_nreps10_vector_manual_m2_mode1_vv_macc,10583562.0,3725443.0,2.840887
n50_nreps1_vector_manual_m1_mode1_vv_macc,270199.0,90535.0,2.98447
n50_nreps1_vector_manual_m2_mode2_vf_macc,209410.0,78697.0,2.660965
n100_nreps1_scalar,3085149.0,697107.0,4.425646
n50_nreps10_vector_manual_m1_mode1_vf_madd,2697668.0,1292003.0,2.087973
n50_nreps10_vector_manual_m4_mode2_vf_macc,1497667.0,682997.0,2.192787
n100_nreps10_vector_manual_m8_mode2_vf_madd,5867146.0,3307789.0,1.773736
n50_nreps10_vector_manual_m1_mode1_vv_macc,2702724.0,839757.0,3.21846
n100_nreps1_vector_manual_m4_mode1_vf_macc,713876.0,343257.0,2.079713
n50_nreps1_vector_manual_m4_mode2_vv_macc,158454.0,77757.0,2.03781
n50_nreps1_vector_manual_m4_mode1_vv_macc,140453.0,73841.0,1.9021
n50_nreps1_vector_manual_m1_mode1_vv_madd,270673.0,138099.0,1.959992
n50_nreps1_vector_manual_m2_mode1_vv_madd,184077.0,82471.0,2.232021
n100_nreps1_vector_manual_m2_mode2_vf_macc,1287272.0,404145.0,3.185174
n100_nreps10_vector_manual_m8_mode2_vv_madd,6204206.0,3809727.0,1.628517
n50_nreps10_vector_manual_m1_mode2_vf_macc,3280453.0,992467.0,3.305352
n100_nreps1_vector_manual_m1_mode1_vv_macc,1738316.0,452263.0,3.843595
n50_nreps10_vector_manual_m8_mode2_vv_macc,1256607.0,748175.0,1.679563
n50_nreps1_vector_manual_m1_mode2_vf_madd,328377.0,146627.0,2.23954
n50_nreps10_vector_manual_m2_mode2_vv_macc,2229697.0,851699.0,2.61794
n100_nreps10_vector_auto,20859696.0,5348085.0,3.900405
n50_nreps10_vector_manual_m8_mode2_vf_macc,1197201.0,670255.0,1.786187
n100_nreps1_vector_manual_m4_mode2_vf_madd,820727.0,362597.0,2.263469
n50_nreps10_vector_manual_m1_mode1_vv_madd,2704628.0,1274611.0,2.121924
n100_nreps1_vector_manual_m2_mode1_vf_macc,1054613.0,370407.0,2.847174
n50_nreps10_vector_manual_m2_mode2_vf_madd,2094018.0,735655.0,2.846467
n50_nreps1_vector_manual_m8_mode2_vv_macc,125731.0,77793.0,1.616225
n100_nreps10_vector_manual_m4_mode1_vf_macc,7138529.0,3405609.0,2.096109
n50_nreps1_vector_manual_m8_mode1_vv_macc,118056.0,73363.0,1.609204
n100_nreps10_vector_manual_m1_mode2_vv_macc,24003512.0,7137729.0,3.362906
n50_nreps10_vector_manual_m2_mode1_vf_macc,1826943.0,725583.0,2.517897
n100_nreps1_vector_manual_m2_mode2_vf_madd,1287531.0,451515.0,2.85158
n50_nreps10_vector_manual_m2_mode1_vf_madd,1828428.0,737261.0,2.480028
n50_nreps1_vector_manual_m2_mode1_vv_macc,183747.0,78525.0,2.339981
n100_nreps10_vector_manual_m1_mode1_vf_madd,17353870.0,9132387.0,1.900256
n50_nreps1_vector_manual_m8_mode1_vf_macc,116710.0,71193.0,1.639347
n100_nreps10_vector_manual_m8_mode2_vf_macc,5868785.0,3381531.0,1.735541
n100_nreps1_vector_manual_m2_mode2_vv_macc,1383542.0,468711.0,2.951802
n50_nreps10_vector_manual_m4_mode1_vv_macc,1403209.0,695295.0,2.018149
n100_nreps10_vector_manual_m2_mode2_vf_macc,12877132.0,4061779.0,3.170318
n50_nreps10_vector_manual_m4_mode2_vf_madd,1497901.0,664713.0,2.253455
n100_nreps1_vector_manual_m8_mode2_vf_madd,586865.0,347103.0,1.690752
n50_nreps1_vector_manual_m2_mode2_vv_madd,223203.0,105403.0,2.117615
n100_nreps1_vector_manual_m2_mode1_vv_macc,1058341.0,375773.0,2.816437
n100_nreps1_vector_manual_m1_mode1_vv_madd,1738390.0,960541.0,1.809803
n100_nreps10_vector_manual_m1_mode1_vv_madd,17381129.0,9507117.0,1.828223
n50_nreps10_vector_manual_m4_mode1_vf_madd,1391700.0,660665.0,2.106514
n50_nreps10_vector_manual_m8_mode1_vf_macc,1166979.0,666857.0,1.749969
n100_nreps1_vector_manual_m8_mode1_vf_macc,543003.0,341837.0,1.588485
n100_nreps10_vector_manual_m1_mode2_vv_madd,24000123.0,14482389.0,1.657194
n100_nreps1_vector_manual_m4_mode1_vv_madd,718401.0,358829.0,2.002071
n50_nreps1_vector_manual_m4_mode1_vf_madd,139160.0,76247.0,1.825121
n100_nreps1_vector_manual_m4_mode1_vv_macc,718116.0,349447.0,2.055007
n100_nreps1_vector_manual_m1_mode2_vv_madd,2400159.0,1470029.0,1.632729
n100_nreps1_vector_manual_m1_mode2_vf_macc,2222034.0,647651.0,3.430913
n50_nreps1_vector_manual_m4_mode1_vv_madd,140374.0,76661.0,1.831101
n50_nreps1_vector_manual_m2_mode1_vf_macc,182931.0,77869.0,2.349215
n50_nreps1_vector_manual_m2_mode1_vf_madd,183049.0,81269.0,2.252384
n50_nreps10_vector_manual_m4_mode2_vv_madd,1583014.0,712601.0,2.221459
n50_nreps1_vector_auto,315472.0,95911.0,3.289216
n100_nreps10_vector_manual_m1_mode2_vf_madd,22215909.0,10306343.0,2.155557
n100_nreps10_vector_manual_m8_mode1_vv_macc,5477011.0,3483079.0,1.572462
n50_nreps1_vector_manual_m8_mode1_vv_madd,118062.0,75691.0,1.559789
n50_nreps1_vector_manual_m4_mode1_vf_macc,139308.0,71395.0,1.951229
n100_nreps1_vector_auto,2085723.0,531129.0,3.926961
n50_nreps1_vector_manual_m8_mode1_vf_madd,116787.0,73501.0,1.588917
n50_nreps1_vector_manual_m4_mode2_vf_macc,149750.0,72191.0,2.074358
n50_nreps1_vector_manual_m1_mode2_vf_macc,328161.0,103503.0,3.170546
n100_nreps1_vector_manual_m8_mode1_vv_madd,547463.0,357973.0,1.529342
