margin_bin,sr_ratio_bin,n,flip,help,harm,acc_sc_no,acc_sc_with,flip_rate,net_help,net_help_rate
"[0,0.03125)","[0,0.01)",13487,420,212,208,0.500185,0.500482,0.031141,4,0.000297
"[0,0.03125)","[0.01,0.02)",2804,1112,591,521,0.480742,0.505706,0.396576,70,0.024964
"[0,0.03125)","[0.02,0.05)",8109,3883,1955,1928,0.504994,0.508324,0.478851,27,0.003330
"[0,0.03125)","[0.05,0.1)",13585,6530,3303,3227,0.503497,0.509091,0.480677,76,0.005594
"[0,0.03125)","[0.1,0.2)",8154,4062,2087,1975,0.494727,0.508462,0.498160,112,0.013736
"[0,0.03125)","[0.2,0.4)",795,408,214,194,0.471698,0.496855,0.513208,20,0.025157
"[0,0.03125)","[0.4,1)",34,14,6,8,0.558824,0.500000,0.411765,-2,-0.058824
"[0.03125,0.0625)","[0,0.01)",13391,3,2,1,0.495930,0.496005,0.000224,1,0.000075
"[0.03125,0.0625)","[0.01,0.02)",2802,123,64,59,0.492862,0.494647,0.043897,5,0.001784
"[0.03125,0.0625)","[0.02,0.05)",8055,2891,1454,1437,0.499069,0.501179,0.358908,17,0.002110
"[0.03125,0.0625)","[0.05,0.1)",13908,6621,3358,3263,0.502373,0.509203,0.476057,95,0.006831
"[0.03125,0.0625)","[0.1,0.2)",8499,4165,2158,2007,0.494058,0.511825,0.490058,151,0.017767
"[0.03125,0.0625)","[0.2,0.4)",850,380,216,164,0.489412,0.550588,0.447059,52,0.061176
"[0.03125,0.0625)","[0.4,1)",31,14,7,7,0.419355,0.419355,0.451613,0,0.000000
"[0.0625,0.125)","[0,0.01)",26791,0,0,0,0.502408,0.502408,0.000000,0,0.000000
"[0.0625,0.125)","[0.01,0.02)",5683,2,1,1,0.502200,0.502200,0.000352,0,0.000000
"[0.0625,0.125)","[0.02,0.05)",16087,1653,869,784,0.499036,0.504320,0.102754,85,0.005284
"[0.0625,0.125)","[0.05,0.1)",27139,10531,5395,5136,0.496813,0.506356,0.388039,259,0.009543
"[0.0625,0.125)","[0.1,0.2)",16765,7482,3697,3785,0.507903,0.502654,0.446287,-88,-0.005249
"[0.0625,0.125)","[0.2,0.4)",1729,721,365,356,0.491614,0.496819,0.417004,9,0.005205
"[0.0625,0.125)","[0.4,1)",59,27,17,10,0.389831,0.508475,0.457627,7,0.118644
"[0.125,0.25)","[0,0.01)",54189,0,0,0,0.503442,0.503442,0.000000,0,0.000000
"[0.125,0.25)","[0.01,0.02)",11439,0,0,0,0.497509,0.497509,0.000000,0,0.000000
"[0.125,0.25)","[0.02,0.05)",32342,154,85,69,0.500000,0.500495,0.004762,16,0.000495
"[0.125,0.25)","[0.05,0.1)",54877,7535,3900,3635,0.496929,0.501758,0.137307,265,0.004829
"[0.125,0.25)","[0.1,0.2)",34325,9269,4726,4543,0.501122,0.506453,0.270036,183,0.005331
"[0.125,0.25)","[0.2,0.4)",3553,960,484,476,0.497326,0.499578,0.270194,8,0.002252
"[0.125,0.25)","[0.4,1)",113,30,14,16,0.495575,0.477876,0.265487,-2,-0.017699
"[0.25,0.5)","[0,0.01)",110136,0,0,0,0.502651,0.502651,0.000000,0,0.000000
"[0.25,0.5)","[0.01,0.02)",22554,0,0,0,0.508868,0.508868,0.000000,0,0.000000
"[0.25,0.5)","[0.02,0.05)",64061,0,0,0,0.500460,0.500460,0.000000,0,0.000000
"[0.25,0.5)","[0.05,0.1)",109056,1004,504,500,0.504530,0.504566,0.009206,4,0.000037
"[0.25,0.5)","[0.1,0.2)",71524,1534,783,751,0.504642,0.505089,0.021447,32,0.000447
"[0.25,0.5)","[0.2,0.4)",7955,214,96,118,0.506097,0.503331,0.026901,-22,-0.002766
"[0.25,0.5)","[0.4,1)",256,4,1,3,0.527344,0.519531,0.015625,-2,-0.007812
"[0.25,0.5)","[1,1e+09)",1,0,0,0,0.000000,0.000000,0.000000,0,0.000000
"[0.5,1)","[0,0.01)",230524,0,0,0,0.507236,0.507236,0.000000,0,0.000000
"[0.5,1)","[0.01,0.02)",46790,0,0,0,0.502672,0.502672,0.000000,0,0.000000
"[0.5,1)","[0.02,0.05)",127050,0,0,0,0.505218,0.505218,0.000000,0,0.000000
"[0.5,1)","[0.05,0.1)",207965,0,0,0,0.504277,0.504277,0.000000,0,0.000000
"[0.5,1)","[0.1,0.2)",154925,5,3,2,0.505645,0.505651,0.000032,1,0.000006
"[0.5,1)","[0.2,0.4)",19608,0,0,0,0.498470,0.498470,0.000000,0,0.000000
"[0.5,1)","[0.4,1)",753,0,0,0,0.501992,0.501992,0.000000,0,0.000000
"[0.5,1)","[1,1e+09)",1,0,0,0,1.000000,1.000000,0.000000,0,0.000000
"[1,2)","[0,0.01)",388805,0,0,0,0.513854,0.513854,0.000000,0,0.000000
"[1,2)","[0.01,0.02)",75523,0,0,0,0.501993,0.501993,0.000000,0,0.000000
"[1,2)","[0.02,0.05)",192948,0,0,0,0.505908,0.505908,0.000000,0,0.000000
"[1,2)","[0.05,0.1)",308433,0,0,0,0.503853,0.503853,0.000000,0,0.000000
"[1,2)","[0.1,0.2)",263326,0,0,0,0.504774,0.504774,0.000000,0,0.000000
"[1,2)","[0.2,0.4)",26686,0,0,0,0.509256,0.509256,0.000000,0,0.000000
"[1,2)","[0.4,1)",567,0,0,0,0.552028,0.552028,0.000000,0,0.000000
"[1,2)","[1,1e+09)",2,0,0,0,0.500000,0.500000,0.000000,0,0.000000
"[2,1e+09)","[0,0.01)",214269,0,0,0,0.523473,0.523473,0.000000,0,0.000000
"[2,1e+09)","[0.01,0.02)",39306,0,0,0,0.510863,0.510863,0.000000,0,0.000000
"[2,1e+09)","[0.02,0.05)",90930,0,0,0,0.505620,0.505620,0.000000,0,0.000000
"[2,1e+09)","[0.05,0.1)",172010,0,0,0,0.505325,0.505325,0.000000,0,0.000000
"[2,1e+09)","[0.1,0.2)",126220,0,0,0,0.508794,0.508794,0.000000,0,0.000000
"[2,1e+09)","[0.2,0.4)",4066,0,0,0,0.512789,0.512789,0.000000,0,0.000000
"[2,1e+09)","[0.4,1)",14,0,0,0,0.642857,0.642857,0.000000,0,0.000000
