,Cycles,Insts,cpi,time,weight
libquantum_1,0.009846,0.06892200000000001,0.0014065714285714285,0.42572661211420115,0.009846
libquantum_2,0.064978,0.32488999999999996,0.0129956,3.9333749058236025,0.064978
libquantum_3,0.021101,0.10550500000000002,0.0042202,1.2773268473603965,0.021101
libquantum_4,0.05,0.30000000000000004,0.008333333333333333,2.5222478542888886,0.05
libquantum_5,0.027159,0.081477,0.009052999999999999,2.740069178985277,0.027159
libquantum_6,0.015771,0.063084,0.00394275,1.193351127299702,0.015771
libquantum_7,0.152313,0.609252,0.03807825,11.525134122909106,0.152313
libquantum_8,0.091277,0.456385,0.0182554,5.525357217502246,0.091277
libquantum_9,0.030793,0.246344,0.003849125,1.1650136726567664,0.030793
libquantum_10,0.211388,1.691104,0.0264235,7.997593941336294,0.211388
libquantum_11,0.07511,0.37555,0.015022,4.546704872055323,0.07511
libquantum_12,0.030044,0.060088,0.015022,4.546704872055323,0.030044
libquantum_13,0.008546,0.025638,0.0028486666666666664,0.8622052065101137,0.008546
libquantum_14,0.040242,0.321936,0.00503025,1.5225044722844019,0.040242
libquantum_15,0.019471,0.155768,0.002433875,0.7366603195628842,0.019471
libquantum_16,0.096322,0.674254,0.013760285714285714,4.164822134071104,0.096322
libquantum_17,0.033568,0.268544,0.004196,1.2700022395915413,0.033568
libquantum_18,0.013833,0.055332,0.00345825,1.046707637051346,0.013833
libquantum_19,0.002335,0.01868,0.000291875,0.08834173109646833,0.002335
libquantum_20,0.00489,0.02445,0.0009780000000000001,0.29601100817934406,0.00489
libquantum_21,0.001013,0.008104,0.000126625,0.03832555614591967,0.001013
