,Cycles,Insts,bmk,ipc,point,workload,cpi,time,weight
libquantum_1,1,7,libquantum,7.0,1,libquantum,0.14285714285714285,43.23853464495238,0.009846
libquantum_2,1,5,libquantum,5.0,2,libquantum,0.2,60.53394850293334,0.064978
libquantum_3,1,5,libquantum,5.0,3,libquantum,0.2,60.53394850293334,0.021101
libquantum_4,1,6,libquantum,6.0,4,libquantum,0.16666666666666666,50.44495708577777,0.05
libquantum_5,1,3,libquantum,3.0,5,libquantum,0.3333333333333333,100.88991417155555,0.027159
libquantum_6,1,4,libquantum,4.0,6,libquantum,0.25,75.66743562866667,0.015771
libquantum_7,1,4,libquantum,4.0,7,libquantum,0.25,75.66743562866667,0.152313
libquantum_8,1,5,libquantum,5.0,8,libquantum,0.2,60.53394850293334,0.091277
libquantum_9,1,8,libquantum,8.0,9,libquantum,0.125,37.83371781433333,0.030793
libquantum_10,1,8,libquantum,8.0,10,libquantum,0.125,37.83371781433333,0.211388
libquantum_11,1,5,libquantum,5.0,11,libquantum,0.2,60.53394850293334,0.07511
libquantum_12,1,2,libquantum,2.0,12,libquantum,0.5,151.33487125733333,0.030044
libquantum_13,1,3,libquantum,3.0,13,libquantum,0.3333333333333333,100.88991417155555,0.008546
libquantum_14,1,8,libquantum,8.0,14,libquantum,0.125,37.83371781433333,0.040242
libquantum_15,1,8,libquantum,8.0,15,libquantum,0.125,37.83371781433333,0.019471
libquantum_16,1,7,libquantum,7.0,16,libquantum,0.14285714285714285,43.23853464495238,0.096322
libquantum_17,1,8,libquantum,8.0,17,libquantum,0.125,37.83371781433333,0.033568
libquantum_18,1,4,libquantum,4.0,18,libquantum,0.25,75.66743562866667,0.013833
libquantum_19,1,8,libquantum,8.0,19,libquantum,0.125,37.83371781433333,0.002335
libquantum_20,1,5,libquantum,5.0,20,libquantum,0.2,60.53394850293334,0.00489
libquantum_21,1,8,libquantum,8.0,21,libquantum,0.125,37.83371781433333,0.001013
