,Cycles,Insts,bmk,ipc,point,workload,cpi,time,weight
omnetpp_1,1,8,omnetpp,8.0,1,omnetpp,0.125,23.446115184375,0.0022749977250022748
omnetpp_2,1,3,omnetpp,3.0,2,omnetpp,0.3333333333333333,62.522973825,0.020578979421020577
omnetpp_3,1,1,omnetpp,1.0,3,omnetpp,1.0,187.568921475,0.006646993353006646
omnetpp_4,1,8,omnetpp,8.0,4,omnetpp,0.125,23.446115184375,0.3122446877553122
omnetpp_5,1,8,omnetpp,8.0,5,omnetpp,0.125,23.446115184375,0.25967674032325966
omnetpp_6,1,8,omnetpp,8.0,6,omnetpp,0.125,23.446115184375,0.0993069006930993
omnetpp_7,1,8,omnetpp,8.0,7,omnetpp,0.125,23.446115184375,0.17668382331617666
omnetpp_8,1,8,omnetpp,8.0,8,omnetpp,0.125,23.446115184375,0.11938888061111937
omnetpp_9,1,8,omnetpp,8.0,9,omnetpp,0.125,23.446115184375,0.0011369988630011369
omnetpp_10,1,3,omnetpp,3.0,10,omnetpp,0.3333333333333333,62.522973825,0.001207998792001208
omnetpp_11,1,1,omnetpp,1.0,11,omnetpp,1.0,187.568921475,0.0008529991470008529
