Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,82.7765%,1511982,7266616,8778598,4284631,662647,849335,2981985
0x1ca50,69.5242%,167391,381867,549258,140623,98268,69123,241244
0x1c9b8,73.4475%,145842,403416,549258,97394,109038,36804,306022
0x1ca0c,74.6964%,138982,410276,549258,136216,90361,48621,274060
0x1c894,75.4806%,134675,414584,549259,145289,83310,51365,269295
0x1caac,67.784%,129147,271732,400879,267549,4599,124548,4183
0x1c934,69.3334%,119935,271158,391093,264477,7228,112707,6681
0x1ca98,79.4736%,112743,436515,549258,63947,84432,28311,372568
0x1c920,82.9567%,93612,455647,549259,86005,72161,21451,369642
0x1c970,84.2528%,86493,462765,549258,189228,55368,31125,273537
0x1c8d8,85.6377%,78886,470373,549259,164873,53373,25513,305500
0x1c9cc,79.2364%,71183,271643,342826,270680,1131,70052,963
0x1c8e8,82.0388%,59454,271559,331013,270938,729,58725,621
0x1ca1c,84.1162%,51254,271427,322681,270879,702,50552,548
0x1c8a4,84.8809%,48481,272179,320660,272040,163,48318,139
0x1ca60,87.4549%,38936,271431,310367,271166,350,38586,265
0x1c980,89.1693%,32997,271665,304662,271234,548,32449,431
0x1cae4,99.8855%,629,548629,549258,548629,31,598,0
0x11f50,62.1136%,527,864,1391,30,494,33,834
0x11cc0,60.453%,227,347,574,243,88,139,104
0x11cf0,62.6623%,115,193,308,150,42,73,43
0x11df4,77.0393%,76,255,331,5,60,16,250
0x11f58,94.8922%,45,836,881,3,39,6,833
0x11f64,79.6875%,39,153,192,25,28,11,128
0x1cad8,99.9934%,36,549222,549258,549222,36,0,0
0x11d0c,81.0651%,32,137,169,131,14,18,6
0x1c958,99.9774%,27,119361,119388,0,1,26,119361
0x1c90c,99.9629%,22,59324,59346,0,0,22,59324
0x1ca84,99.9459%,21,38830,38851,0,0,21,38830
0x1c9a4,99.9392%,20,32860,32880,0,0,20,32860
0x11e1c,86.8966%,19,126,145,123,0,19,3
0x1c9f0,99.9803%,14,71001,71015,0,0,14,71001
0x1cad0,99.9891%,14,128717,128731,0,0,14,128717
0x1ca40,99.9746%,13,51087,51100,0,0,13,51087
0x11ca4,63.6364%,8,14,22,12,2,6,2
0x1c8c8,99.9856%,7,48450,48457,0,0,7,48450
0x11f08,99.5751%,6,1406,1412,0,4,2,1406
0x1cc10,98.6622%,4,295,299,295,4,0,0
0x11cc4,99.026%,3,305,308,296,1,2,9
0x11c5c,99.7877%,3,1410,1413,1410,2,1,0
0x11e48,93.4783%,3,43,46,1,3,0,42
0x1cbe4,99%,3,297,300,0,1,2,297
0x11d58,25%,3,1,4,0,2,1,1
0x11f10,99.7869%,3,1405,1408,14,3,0,1391
0x1c86c,99.6661%,2,597,599,0,0,2,597
0x1cbbc,99.3311%,2,297,299,0,0,2,297
0x11f80,0%,2,0,2,0,0,2,0
0x11e80,99.8585%,2,1411,1413,1411,1,1,0
0x1203c,88.2353%,2,15,17,14,2,0,1
0x4dc90,0%,1,0,1,0,1,0,0
0x4cd6c,0%,1,0,1,0,1,0,0
0x11ed8,0%,1,0,1,0,0,1,0
0x4a030,0%,1,0,1,0,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x11d60,50%,1,1,2,0,0,1,1
0x12abc,0%,1,0,1,0,1,0,0
0x11c64,0%,1,0,1,0,1,0,0
0x11d3c,97.8261%,1,45,46,45,1,0,0
0x4a2cc,0%,1,0,1,0,0,1,0
0x4cb68,0%,1,0,1,0,1,0,0
0x4e380,0%,1,0,1,0,0,1,0
0x4c744,0%,1,0,1,0,1,0,0
0x1c728,50%,1,1,2,0,0,1,1
0x4c720,0%,1,0,1,0,1,0,0
0x4cb60,0%,1,0,1,0,0,1,0
0x11fb8,75%,1,3,4,3,1,0,0
0x4caf4,0%,1,0,1,0,1,0,0
0x80000054,0%,1,0,1,0,1,0,0
0x11e20,95.4545%,1,21,22,21,1,0,0
0x4b7bc,0%,1,0,1,0,1,0,0
0x4cbac,0%,1,0,1,0,0,1,0
0x4cfd0,0%,1,0,1,0,1,0,0
0x4cbcc,0%,1,0,1,0,0,1,0
0x4a028,50%,1,1,2,0,1,0,1
0x4c788,0%,1,0,1,0,1,0,0
0x11da8,50%,1,1,2,1,1,0,0
0x12ab8,0%,1,0,1,0,0,1,0
0x4b800,0%,1,0,1,0,1,0,0
0x4a29c,0%,1,0,1,0,1,0,0
