Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,92.0082%,840417,9675522,10515939,3807965,558605,281812,5867557
0x162cc,81.2372%,423234,1832472,2255706,281304,360011,63223,1551168
0x162d0,89.7158%,166027,1448364,1614391,1277934,44500,121527,170430
0x16298,89.0032%,58714,475206,533920,245499,37787,20927,229707
0x16374,82.4655%,43021,202329,245350,70045,22424,20597,132284
0x16318,87.3959%,26787,185739,212526,52790,18442,8345,132949
0x16310,91.729%,22836,253261,276097,46344,17227,5609,206917
0x16424,97.4308%,19318,732584,751902,236824,13810,5508,495760
0x16320,87.0285%,18328,122966,141294,59362,8899,9429,63604
0x16368,91.7879%,17069,190784,207853,14173,11901,5168,176611
0x16380,90.7649%,15525,152584,168109,133793,6033,9492,18791
0x16328,87.2578%,9306,63727,73033,39182,2611,6695,24545
0x16308,97.0342%,8640,282685,291325,7203,8025,615,275482
0x162b0,99.79%,4676,2222250,2226926,735269,2353,2323,1486981
0x1635c,97.4154%,3646,137418,141064,1396,3047,599,136022
0x16330,96.5205%,1087,30153,31240,28971,75,1012,1182
0x1641c,97.4322%,739,28041,28780,14019,481,258,14022
0x162dc,99.8222%,519,291438,291957,27,470,49,291411
0x164ac,99.9459%,289,533631,533920,533631,28,261,0
0x16350,99.6823%,232,72786,73018,16,199,33,72770
0x16300,99.9557%,129,291331,291460,46,90,39,291285
0x163d8,99.6282%,107,28673,28780,0,91,16,28673
0x163c0,70.1923%,31,73,104,8,19,12,65
0x16344,99.9104%,28,31212,31240,0,15,13,31212
0x163b8,81.3953%,24,105,129,15,10,14,90
0x163fc,99.9236%,22,28758,28780,0,5,17,28758
0x16388,99.9222%,22,28261,28283,28261,22,0,0
0x16338,99.6354%,8,2186,2194,0,0,8,2186
0x163b0,96.1832%,5,126,131,0,2,3,126
0x163a8,96.2963%,5,130,135,3,1,4,127
0x4dc4c,96.875%,3,93,96,0,0,3,93
0x4e374,96.875%,3,93,96,0,0,3,93
0x4e390,96.875%,3,93,96,93,3,0,0
0x16268,98.8506%,3,258,261,0,0,3,258
0x164c0,99.2337%,2,259,261,259,2,0,0
0x163a0,98.5294%,2,134,136,0,1,1,134
0x501c0,97.9167%,2,94,96,94,2,0,0
0x4dc88,97.9167%,2,94,96,94,2,0,0
0x4e380,97.9167%,2,94,96,0,0,2,94
0x16390,98.5294%,2,134,136,0,0,2,134
0x5015c,97.9167%,2,94,96,94,2,0,0
0x4c6b4,98.9583%,1,95,96,95,1,0,0
0x4dc90,98.9583%,1,95,96,95,1,0,0
0x80000054,0%,1,0,1,0,1,0,0
0x4a010,98.9583%,1,95,96,0,0,1,95
0x4b9f4,98.9583%,1,95,96,95,1,0,0
0x4ddac,98.9583%,1,95,96,95,1,0,0
0x163cc,98.7013%,1,76,77,76,1,0,0
0x4d0c0,98.9583%,1,95,96,95,1,0,0
0x51140,98.9583%,1,95,96,95,1,0,0
0x4d1e0,98.9583%,1,95,96,95,1,0,0
0x4a028,98.9583%,1,95,96,95,1,0,0
0x4c808,98.9583%,1,95,96,95,1,0,0
0x16398,99.2647%,1,135,136,0,0,1,135
0x800003c8,0%,1,0,1,0,1,0,0
0x4c4dc,98.9583%,1,95,96,95,1,0,0
0x4cbd4,98.9583%,1,95,96,95,1,0,0
0x4de20,98.9583%,1,95,96,95,1,0,0
0x4b90c,100%,0,96,96,0,0,0,96
0x4cbcc,100%,0,96,96,0,0,0,96
0x4b91c,100%,0,96,96,0,0,0,96
0x4b924,100%,0,96,96,0,0,0,96
0x4c4b0,100%,0,96,96,0,0,0,96
0x4c4c4,100%,0,96,96,0,0,0,96
0x4d0ac,100%,0,96,96,0,0,0,96
0x4b938,100%,0,96,96,0,0,0,96
0x4b950,100%,0,96,96,0,0,0,96
0x4b968,100%,0,96,96,0,0,0,96
0x4c4b8,100%,0,96,96,0,0,0,96
0x4cbac,100%,0,96,96,0,0,0,96
0x4b9dc,100%,0,96,96,0,0,0,96
0x4b974,100%,0,96,96,0,0,0,96
0x4b980,100%,0,96,96,0,0,0,96
0x4b994,100%,0,96,96,0,0,0,96
0x4b9a8,100%,0,96,96,0,0,0,96
0x4b9b8,100%,0,96,96,0,0,0,96
0x4b9e0,100%,0,96,96,0,0,0,96
0x4a018,100%,0,96,96,0,0,0,96
0x4a000,100%,0,96,96,0,0,0,96
0x80000034,100%,0,1,1,0,0,0,1
0x8000058c,100%,0,1,1,0,0,0,1
0x4c694,100%,0,96,96,0,0,0,96
0x4d13c,100%,0,96,96,0,0,0,96
0x4c48c,100%,0,96,96,0,0,0,96
0x8000071c,100%,0,1,1,0,0,0,1
0x50190,100%,0,96,96,0,0,0,96
0x4cb68,100%,0,96,96,0,0,0,96
0x4b900,100%,0,96,96,0,0,0,96
0x4de0c,100%,0,96,96,0,0,0,96
0x4de18,100%,0,96,96,0,0,0,96
0x4dc50,100%,0,96,96,0,0,0,96
0x50144,100%,0,96,96,0,0,0,96
0x4dc64,100%,0,96,96,0,0,0,96
0x4e344,100%,0,96,96,0,0,0,96
0x4cba8,100%,0,96,96,0,0,0,96
0x4dc7c,100%,0,96,96,0,0,0,96
