Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,80.7628%,38163951,160222423,198386374,74901417,16645209,21518742,85321006
0x1bef8,74.7129%,1848006,5460079,7308085,5428860,80092,1767914,31219
0x1bf40,75.0467%,1823607,5484479,7308086,5475814,48679,1774928,8665
0x1c894,50.7684%,1694242,1747128,3441370,981954,812387,881855,765174
0x1c9b8,50.9137%,1689239,1752127,3441366,721025,1014603,674636,1031102
0x1ca50,51.201%,1679348,1762012,3441360,1117661,640097,1039251,644351
0x1c8d8,51.8454%,1657178,1784193,3441371,1262962,538772,1118406,521231
0x1c970,51.9156%,1654760,1786607,3441367,1209175,579718,1075042,577432
0x1c920,55.4722%,1532366,1909004,3441370,373745,1133456,398910,1535259
0x178c0,66.2169%,1418770,2780879,4199649,24689,1376226,42544,2756190
0x17830,72.4214%,1416920,3720829,5137749,3709240,27594,1389326,11589
0x1ca0c,58.9867%,1411418,2029946,3441364,93622,1314390,97028,1936324
0x17ac0,49.8381%,1403896,1394836,2798732,310235,1088703,315193,1084601
0x178e8,51.4601%,1354942,1436458,2791400,824563,522148,832794,611895
0x17a74,51.7775%,1349618,1449115,2798733,865158,588714,760904,583957
0x1ca98,67.5688%,1116075,2325285,3441360,60554,1034930,81145,2264731
0x179e8,57.2684%,1048270,1404880,2453150,195402,841739,206531,1209478
0x1caac,58.5202%,973064,1372813,2345877,1211671,194551,778513,161142
0x162b0,66.7548%,740346,1486582,2226928,5940,731683,8663,1480642
0x17c7c,51.9222%,672422,726191,1398613,469004,265972,406450,257187
0x162cc,70.3758%,668235,1587472,2255707,53797,587518,80717,1533675
0x1ca1c,68.0835%,648974,1384377,2033351,1350062,53284,595690,34315
0x17b60,56.4361%,608693,788549,1397242,136369,473885,134808,652180
0x1c934,72.464%,532592,1401577,1934169,1397691,6201,526391,3886
0x17aa8,63.7299%,479815,843080,1322895,815290,54162,425653,27790
0x14630,54.5031%,477453,571965,1049418,315708,212371,265082,256257
0x1465c,54.2385%,458834,543829,1002663,468933,60899,397935,74896
0x17dd4,69.7645%,407185,939526,1346711,5634,390004,17181,933892
0x147f0,62.738%,391893,659831,1051724,634608,66033,325860,25223
0x17a7c,73.1776%,360724,984137,1344861,976898,22380,338344,7239
0x14680,67.6514%,340218,711505,1051723,704046,12715,327503,7459
0x162d0,78.9697%,339512,1274880,1614392,1227068,95367,244145,47812
0x1c9cc,80.4086%,334178,1371560,1705738,1365635,23948,310230,5925
0x1ca60,82.7684%,290112,1393490,1683602,1392408,4768,285344,1082
0x17d18,60.8421%,287801,447175,734976,396677,84415,203386,50498
0x1c8e8,82.8893%,280553,1359084,1639637,1350198,47558,232995,8886
0x1c980,83.9208%,265705,1386769,1652474,1385960,3684,262021,809
0x1c8a4,84.3433%,257870,1389160,1647030,1385585,21201,236669,3575
0x16424,66.4156%,252522,499381,751903,1559,249075,3447,497822
0x139b4,66.1471%,244713,478158,722871,474500,7414,237299,3658
0x17e3c,63.0133%,225713,384541,610254,353234,55026,170687,31307
0x13980,73.3336%,192764,530107,722871,529811,1919,190845,296
0x16f7c,73.0007%,171604,463982,635586,220581,44064,127540,243401
0x1475c,74.2147%,148531,427499,576030,421784,13815,134716,5715
0x16298,72.6592%,145978,387942,533920,183273,100013,45965,204669
0x16ff0,65.3533%,114426,215839,330265,109982,51115,63311,105857
0x4cbcc,80.8942%,98829,418443,517272,399877,38814,60015,18566
0x1485c,82.1591%,94214,433865,528079,433499,1364,92850,366
0x14800,73.631%,92577,258506,351083,255087,10256,82321,3419
0x16374,65.1005%,85626,159724,245350,36288,56181,29445,123436
0x138ec,88.776%,81135,641735,722870,638834,13179,67956,2901
0x16f94,82.6935%,64197,306744,370941,295095,12129,52068,11649
0x17aa0,82.5576%,60278,285305,345583,118,59711,567,285187
0x149cc,31.1807%,59005,26734,85739,25730,415,58590,1004
0x1a344,49.9207%,57798,57615,115413,30624,26967,30831,26991
0x1b21c,55.4007%,57270,71140,128410,45958,15220,42050,25182
0x1b24c,56.7429%,55803,73200,129003,34120,31925,23878,39080
0x1469c,84.0734%,53348,281614,334962,280847,5055,48293,767
0x16380,70.4573%,49664,118445,168109,111666,28160,21504,6779
0x4cbd4,37.2571%,49304,29277,78581,6592,46070,3234,22685
0x16310,83.5268%,45482,230615,276097,38053,25518,19964,192562
0x1b328,65.4822%,44529,84474,129003,83411,2436,42093,1063
0x1b274,65.7481%,44186,84817,129003,81469,7991,36195,3348
0x14cb4,49.2821%,43341,42114,85455,24865,17493,25848,17249
0x14da0,50.6337%,42186,43269,85455,5121,36863,5323,38148
0x16318,80.3958%,41664,170862,212526,42006,29226,12438,128856
0x14bf4,56.7974%,36924,48543,85467,4998,23399,13525,43545
0x1b418,54.6671%,33744,40692,74436,20446,19603,14141,20246
0x4a028,86.0926%,32837,203275,236112,125684,12240,20597,77591
0x1b3e8,56.3146%,32401,41768,74169,20895,14704,17697,20873
0x149b4,91.3936%,31092,330175,361267,262247,13281,17811,67928
0x1b440,59.8743%,29868,44568,74436,40723,10102,19766,3845
0x14d48,65.4993%,29494,55994,85488,55570,1419,28075,424
0x16320,79.1881%,29406,111888,141294,57160,11101,18305,54728
0x1a320,49.8057%,29057,28832,57889,19626,9385,19672,9206
0x1a304,49.9509%,29049,28992,58041,17576,11444,17605,11416
0x1a374,50.083%,28863,28959,57822,18801,10305,18558,10158
0x1a3a0,49.7699%,28818,28554,57372,6607,22260,6558,21947
0x1a3cc,50.1486%,28677,28848,57525,16534,12237,16440,12314
